###MAGIC OFFMAP POWER###
OFFMAP_SPELLS;Open Spellbook;;;;;;;;;;;;x
OFFMAP_SPELLS_DESC;Interact to open up Spellbook Menu;;;;;;;;;;;;x
OFFMAP_CHANNELING;Open the Channeling Menu;;;;;;;;;;;;x
OFFMAP_CHANNELING_DESC;Interact to open up Channeling Menu;;;;;;;;;;;;x
offmap_magic;Winds of Magic;;;;;;;;;;;;x
casted_spell_tt;Has not casted a spell in the last 3 months;;;;;;;;;;;;x
magic_channeling;Channeling;;;;;;;;;;;;x
magic_channeling_DESC;Channeling will allow you to cast more spells.;;;;;;;;;;;;x

###MAGIC###
colour_magic_trigger_tt;has a Lore of Colour;;;;;;;;;;;;x
lore_of_fire_trigger_tt;has Lore of Fire;;;;;;;;;;;;x
lore_of_beasts_trigger_tt;has Lore of Beasts;;;;;;;;;;;;x
lore_of_metal_trigger_tt;has Lore of Metal;;;;;;;;;;;;x
lore_of_light_trigger_tt;has Lore of Light;;;;;;;;;;;;x
lore_of_life_trigger_tt;has Lore of Life;;;;;;;;;;;;x
lore_of_heavens_trigger_tt;has Lore of Heavens;;;;;;;;;;;;x
lore_of_death_trigger_tt;has Lore of Death;;;;;;;;;;;;x
lore_of_shadows_trigger_tt;has Lore of Shadows;;;;;;;;;;;;x
spell_casting_tt;has a chance of getting a mutation;;;;;;;;;;;;x

##Spells##
the_beast_broken;The Beast Broken;;;;;;;;;;;;;x
the_beast_broken_desc;You break the spirit of local animals, utilizing in battle against your enemies.;;;;;;;;;;;;;x
the_beast_made_well;The Beast Made Well;;;;;;;;;;;;;x
the_beast_made_well_desc;Calms the bestial aspect of man to better ensure your troops cooperate.;;;;;;;;;;;;;x
the_beast_unleashed;The Beast Unleashed;;;;;;;;;;;;;x
the_beast_unleashed_desc;You unleash the primal savagery of your allies.;;;;;;;;;;;;;x
the_boars_hide;The Boars Hide;;;;;;;;;;;;;x
the_boars_hide_desc;Your skin becomes as tough as a wild boar's.;;;;;;;;;;;;;x
calm_the_wild_beast;Pacification of the Beast;;;;;;;;;;;;;x
calm_the_wild_beast_desc;Your soothing and hypnotic voice draws local wildlife as a bounty for your troops.;;;;;;;;;;;;;x
claws_of_fury;Claws of Fury;;;;;;;;;;;;;x
claws_of_fury_desc;Your fingernails turn into razor-sharp claws as you take on a feral aspect.;;;;;;;;;;;;;x
cowering_beasts;Cowering Beasts;;;;;;;;;;;;;x
cowering_beasts_desc;You thunderously rebuke your foes, comparing them to base animals that had best cower before their master. ;;;;;;;;;;;;;x
crows_feast;Crows Feast;;;;;;;;;;;;;x
crows_feast_desc;You summon a murder of supernatural crows.;;;;;;;;;;;;;x
crueltys_desserts;Cruelty's Desserts;;;;;;;;;;;;;x
